Using Equatorial Coordinates

       Target

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |            RA             |            Dec            |
   Start           End         Duration         Start         End        Start          End          Start          End     
 2020-04-09      2020-06-02        54.00     259.39302     259.25346     297.23157     298.56291     -21.14088     -21.06501 
 2020-08-25      2020-10-17        53.00      82.18366      82.14168     289.02552     290.53184     -22.68706     -22.51709 
 2021-05-16      2021-07-08        53.00     249.22658     250.29537     332.51548     333.84256     -12.16733     -11.96557 
 2021-09-30      2021-11-21        52.00      69.98360      70.73802     325.14108     326.55802     -15.13497     -14.56241 
 2022-06-23      2022-08-15        53.00     246.71071     248.28221       6.55811       7.85765       1.44030       1.74474 
 2022-11-06      2022-12-27        51.00      65.13070      66.57951     359.60963       0.82206      -1.82586      -1.08753 
 2023-07-31      2023-09-23        54.00     252.55178     254.17649      41.38693      42.66665      14.70941      14.95688 
 2023-12-13      2023-12-31        17.10      69.27259      69.84948      33.27866      33.27866      12.09078      12.09078 


                                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      RA     Dec      min    max      min    max       min    max     min    max      min    max      min    max

2020-04-10   297.23 -21.14   255.80 262.99   255.77 262.96    33.29  40.48   255.23 262.42   260.81 268.00   254.55 261.74
2020-04-11   297.34 -21.12   255.22 263.50   255.19 263.47    32.70  40.98   254.65 262.93   260.23 268.51   253.96 262.24
2020-04-12   297.44 -21.11   254.63 264.01   254.61 263.98    32.12  41.49   254.06 263.44   259.65 269.02   253.38 262.75
2020-04-13   297.54 -21.09   254.18 264.39   254.15 264.36    31.67  41.88   253.61 263.82   259.19 269.40   252.93 263.14
2020-04-14   297.64 -21.08   254.15 264.35   254.12 264.32    31.64  41.84   253.58 263.78   259.16 269.37   252.90 263.10
2020-04-15   297.74 -21.06   254.12 264.32   254.09 264.29    31.60  41.80   253.55 263.75   259.13 269.33   252.87 263.07
2020-04-16   297.83 -21.05   254.08 264.28   254.06 264.26    31.57  41.77   253.51 263.71   259.10 269.30   252.83 263.03
2020-04-17   297.92 -21.04   254.05 264.26   254.03 264.23    31.54  41.74   253.48 263.69   259.07 269.27   252.80 263.00
2020-04-18   298.01 -21.02   254.02 264.23   253.99 264.20    31.51  41.72   253.45 263.66   259.04 269.24   252.77 262.98
2020-04-19   298.09 -21.01   253.99 264.20   253.96 264.18    31.48  41.69   253.42 263.63   259.00 269.22   252.74 262.95
2020-04-20   298.17 -21.00   253.96 264.18   253.93 264.16    31.45  41.67   253.39 263.61   258.97 269.20   252.71 262.93
2020-04-21   298.25 -20.99   253.93 264.16   253.90 264.14    31.41  41.65   253.36 263.59   258.94 269.18   252.68 262.91
2020-04-22   298.33 -20.98   253.89 264.14   253.87 264.12    31.38  41.63   253.32 263.57   258.91 269.16   252.64 262.89
2020-04-23   298.40 -20.97   253.86 264.13   253.84 264.10    31.35  41.62   253.29 263.56   258.88 269.15   252.61 262.88
2020-04-24   298.47 -20.96   253.83 264.12   253.80 264.09    31.32  41.61   253.26 263.55   258.85 269.13   252.58 262.87
2020-04-25   298.53 -20.95   253.80 264.11   253.77 264.08    31.29  41.60   253.23 263.54   258.81 269.12   252.55 262.86
2020-04-26   298.60 -20.94   253.77 264.10   253.74 264.08    31.25  41.59   253.20 263.53   258.78 269.12   252.52 262.85
2020-04-27   298.65 -20.93   253.73 264.10   253.71 264.07    31.22  41.59   253.16 263.53   258.75 269.11   252.48 262.85
2020-04-28   298.71 -20.92   253.70 264.10   253.68 264.07    31.19  41.59   253.13 263.53   258.72 269.11   252.45 262.85
