Using Equatorial Coordinates

       Target

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |            RA             |            Dec            |
   Start           End         Duration         Start         End        Start          End          Start          End     
 2020-06-06      2020-07-28        52.00     246.73676     248.06205     351.80577     351.56779      -4.69045      -4.83493 
 2020-10-26      2020-12-15        50.00      66.03060      67.05312     349.54457     349.33852      -5.70117      -5.76978 
 2021-06-08      2021-07-30        52.00     246.63603     247.95918     353.87218     353.64797      -3.86444      -4.00368 
 2021-10-29      2021-12-17        49.00      65.83472      66.87522     351.61506     351.41172      -4.88114      -4.94847 
 2022-06-11      2022-08-02        52.00     246.58941     247.91539     355.94560     355.70993      -3.02967      -3.17358 
 2022-10-31      2022-12-19        49.08      65.62862      66.73427     353.69821     353.48139      -4.04770      -4.11992 
 2023-06-13      2023-08-04        52.00     246.54970     247.85574     358.00857     357.78648      -2.19300      -2.33091 
 2023-11-03      2023-12-22        49.00      65.48464      66.64993     355.76167     355.55551      -3.21554      -3.28141 


                                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      RA     Dec      min    max      min    max       min    max     min    max      min    max      min    max

2020-06-07   351.81  -4.69   242.87 250.61   242.85 250.58    20.36  28.09   242.30 250.04   247.89 255.62   241.62 249.35
2020-06-08   351.81  -4.69   242.30 251.22   242.27 251.19    19.79  28.71   241.73 250.65   247.31 256.24   241.05 249.97
2020-06-09   351.82  -4.69   241.72 251.84   241.70 251.81    19.21  29.32   241.15 251.27   246.74 256.85   240.47 250.59
2020-06-10   351.83  -4.68   241.70 251.90   241.67 251.88    19.19  29.39   241.13 251.33   246.71 256.92   240.45 250.65
2020-06-11   351.84  -4.68   241.72 251.92   241.69 251.90    19.21  29.41   241.15 251.35   246.74 256.94   240.47 250.67
2020-06-12   351.84  -4.68   241.74 251.94   241.72 251.92    19.23  29.43   241.17 251.37   246.76 256.96   240.49 250.69
2020-06-13   351.85  -4.68   241.76 251.96   241.73 251.94    19.25  29.45   241.19 251.39   246.78 256.98   240.51 250.71
2020-06-14   351.85  -4.68   241.78 251.99   241.75 251.96    19.27  29.47   241.21 251.42   246.79 257.00   240.53 250.74
2020-06-15   351.86  -4.68   241.80 252.01   241.77 251.99    19.28  29.50   241.23 251.44   246.81 257.03   240.55 250.76
2020-06-16   351.86  -4.68   241.81 252.04   241.79 252.01    19.30  29.53   241.24 251.47   246.83 257.05   240.56 250.79
2020-06-17   351.86  -4.67   241.83 252.07   241.80 252.04    19.31  29.55   241.26 251.50   246.84 257.08   240.58 250.82
2020-06-18   351.87  -4.67   241.84 252.10   241.81 252.07    19.33  29.58   241.27 251.53   246.85 257.11   240.59 250.84
2020-06-19   351.87  -4.67   241.85 252.13   241.82 252.10    19.34  29.61   241.28 251.56   246.87 257.14   240.60 250.88
2020-06-20   351.87  -4.67   241.86 252.16   241.83 252.13    19.35  29.65   241.29 251.59   246.88 257.17   240.61 250.91
2020-06-21   351.87  -4.67   241.87 252.19   241.84 252.17    19.36  29.68   241.30 251.62   246.88 257.21   240.62 250.94
2020-06-22   351.87  -4.68   241.88 252.23   241.85 252.20    19.36  29.72   241.31 251.66   246.89 257.24   240.63 250.98
2020-06-23   351.88  -4.68   241.88 252.27   241.86 252.24    19.37  29.75   241.31 251.70   246.90 257.28   240.63 251.02
2020-06-24   351.88  -4.68   241.89 252.31   241.86 252.28    19.37  29.79   241.32 251.74   246.90 257.32   240.64 251.06
2020-06-25   351.87  -4.68   241.89 252.35   241.86 252.32    19.38  29.83   241.32 251.78   246.90 257.36   240.64 251.10
2020-06-26   351.87  -4.68   241.89 252.39   241.86 252.36    19.38  29.88   241.32 251.82   246.91 257.41   240.64 251.14
2020-06-27   351.87  -4.68   241.89 252.43   241.86 252.41    19.38  29.92   241.32 251.86   246.91 257.45   240.64 251.18
2020-06-28   351.87  -4.68   241.89 252.48   241.86 252.45    19.38  29.97   241.32 251.91   246.90 257.50   240.64 251.23
2020-06-29   351.87  -4.68   241.89 252.53   241.86 252.50    19.37  30.02   241.32 251.96   246.90 257.55   240.64 251.28
2020-06-30   351.86  -4.69   241.88 252.58   241.85 252.55    19.37  30.07   241.31 252.01   246.90 257.60   240.63 251.33
2020-07-01   351.86  -4.69   241.88 252.63   241.85 252.61    19.36  30.12   241.31 252.06   246.89 257.65   240.62 251.38
2020-07-02   351.86  -4.69   241.87 252.69   241.84 252.66    19.35  30.18   241.30 252.12   246.88 257.70   240.62 251.44
2020-07-03   351.85  -4.69   241.86 252.74   241.83 252.72    19.34  30.23   241.29 252.17   246.87 257.76   240.61 251.49
2020-07-04   351.85  -4.70   241.85 252.80   241.82 252.78    19.33  30.29   241.28 252.23   246.86 257.82   240.59 251.55
2020-07-05   351.84  -4.70   241.83 252.87   241.81 252.84    19.32  30.35   241.26 252.30   246.85 257.88   240.58 251.62
2020-07-06   351.84  -4.70   241.82 252.93   241.79 252.90    19.30  30.42   241.25 252.36   246.83 257.95   240.57 251.68
2020-07-07   351.83  -4.71   241.80 253.00   241.77 252.97    19.29  30.48   241.23 252.43   246.82 258.01   240.55 251.75
2020-07-08   351.82  -4.71   241.78 253.07   241.75 253.04    19.27  30.55   241.21 252.50   246.80 258.08   240.53 251.81
2020-07-09   351.81  -4.72   241.76 253.14   241.73 253.11    19.25  30.62   241.19 252.57   246.77 258.15   240.51 251.89
2020-07-10   351.81  -4.72   241.74 253.21   241.71 253.19    19.22  30.70   241.17 252.64   246.75 258.23   240.49 251.96
2020-07-11   351.80  -4.72   241.71 253.29   241.68 253.26    19.20  30.78   241.14 252.72   246.73 258.30   240.46 252.04
2020-07-12   351.79  -4.73   241.68 253.37   241.66 253.34    19.17  30.86   241.11 252.80   246.70 258.39   240.43 252.12
2020-07-13   351.78  -4.73   241.65 253.45   241.63 253.43    19.14  30.94   241.08 252.88   246.67 258.47   240.40 252.20
2020-07-14   351.77  -4.74   241.62 253.54   241.59 253.52    19.11  31.03   241.05 252.97   246.64 258.56   240.37 252.29
2020-07-15   351.76  -4.74   241.58 253.63   241.56 253.61    19.07  31.12   241.01 253.06   246.60 258.65   240.33 252.38
2020-07-16   351.75  -4.75   241.55 253.73   241.52 253.70    19.03  31.21   240.98 253.16   246.56 258.74   240.30 252.48
2020-07-17   351.74  -4.75   241.51 253.83   241.48 253.80    18.99  31.31   240.94 253.26   246.52 258.84   240.25 252.57
2020-07-18   351.73  -4.76   241.46 253.93   241.44 253.90    18.95  31.41   240.89 253.36   246.48 258.94   240.21 252.68
2020-07-19   351.71  -4.77   241.42 254.03   241.39 254.01    18.90  31.52   240.85 253.46   246.43 259.05   240.16 252.78
2020-07-20   351.70  -4.77   241.37 254.14   241.34 254.12    18.85  31.63   240.80 253.57   246.38 259.16   240.11 252.89
2020-07-21   351.69  -4.78   241.31 254.26   241.29 254.23    18.80  31.75   240.74 253.69   246.33 259.28   240.06 253.01
2020-07-22   351.67  -4.79   241.25 254.38   241.23 254.35    18.74  31.87   240.68 253.81   246.27 259.40   240.00 253.13
2020-07-23   351.66  -4.79   241.19 254.51   241.17 254.48    18.68  31.99   240.62 253.94   246.21 259.52   239.94 253.26
2020-07-24   351.65  -4.80   241.13 254.64   241.10 254.61    18.62  32.13   240.56 254.07   246.14 259.65   239.88 253.39
2020-07-25   351.63  -4.81   241.06 254.78   241.03 254.75    18.55  32.26   240.49 254.21   246.08 259.79   239.81 253.53
2020-07-26   351.62  -4.81   240.99 254.92   240.96 254.89    18.47  32.41   240.42 254.35   246.00 259.94   239.74 253.67
2020-07-27   351.60  -4.82   240.91 255.07   240.88 255.04    18.40  32.56   240.34 254.50   245.92 260.09   239.66 253.82
2020-07-28   351.58  -4.83   240.83 255.23   240.80 255.20    18.31  32.72   240.26 254.66   245.84 260.24   239.58 253.98

2020-10-27   349.54  -5.70    58.87  73.19    58.85  73.17   196.36 210.68    58.30  72.62    63.89  78.21    57.62  71.94
2020-10-28   349.53  -5.71    59.03  73.11    59.00  73.08   196.52 210.60    58.46  72.54    64.04  78.12    57.78  71.86
2020-10-29   349.51  -5.71    59.18  73.03    59.15  73.00   196.66 210.51    58.61  72.46    64.19  78.04    57.93  71.78
