Using Equatorial Coordinates

       Target

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |            RA             |            Dec            |
   Start           End         Duration         Start         End        Start          End          Start          End     
 2020-04-15      2020-06-07        53.00     257.20511     257.54669     303.47738     303.38683     -19.95160     -20.06859 
 2020-09-02      2020-10-24        52.00      79.17863      79.53787     297.56182     297.57030     -21.30966     -21.34767 
 2021-04-28      2021-06-19        52.00     253.39537     254.38423     315.43512     315.34383     -17.50920     -17.68033 
 2021-09-14      2021-11-04        51.06      74.62395      75.45492     309.68059     309.64845     -19.28299     -19.29393 
 2022-05-10      2022-07-01        52.00     250.33291     251.86129     327.15201     327.11693     -14.33968     -14.53876 
 2022-09-27      2022-11-16        50.03      70.75172      71.98365     321.58627     321.58147     -16.44817     -16.41512 
 2023-05-23      2023-07-14        52.00     248.12798     250.09407     338.75275     338.70803     -10.53378     -10.76642 
 2023-10-09      2023-11-28        50.05      67.60279      69.28604     333.36929     333.32985     -12.88137     -12.82024 


                                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      RA     Dec      min    max      min    max       min    max     min    max      min    max      min    max

2020-04-16   303.48 -19.95   253.70 260.71   253.67 260.68    31.19  38.20   253.13 260.14   258.71 265.73   252.45 259.46
2020-04-17   303.52 -19.94   253.11 261.28   253.08 261.25    30.59  38.77   252.54 260.71   258.12 266.29   251.86 260.03
2020-04-18   303.56 -19.94   252.51 261.85   252.49 261.82    30.00  39.34   251.94 261.28   257.53 266.87   251.26 260.60
2020-04-19   303.60 -19.93   252.07 262.27   252.04 262.25    29.55  39.76   251.50 261.70   257.08 267.29   250.82 261.02
2020-04-20   303.63 -19.92   252.06 262.26   252.03 262.23    29.55  39.75   251.49 261.69   257.07 267.28   250.81 261.01
2020-04-21   303.67 -19.92   252.05 262.25   252.02 262.22    29.54  39.74   251.48 261.68   257.06 267.27   250.80 261.00
2020-04-22   303.70 -19.91   252.04 262.24   252.01 262.21    29.53  39.73   251.47 261.67   257.06 267.26   250.79 260.99
2020-04-23   303.73 -19.91   252.03 262.23   252.00 262.21    29.52  39.72   251.46 261.66   257.05 267.25   250.78 260.98
2020-04-24   303.76 -19.90   252.02 262.23   251.99 262.20    29.51  39.72   251.45 261.66   257.04 267.24   250.77 260.98
2020-04-25   303.79 -19.90   252.01 262.23   251.98 262.20    29.50  39.71   251.44 261.66   257.02 267.24   250.76 260.98
2020-04-26   303.82 -19.89   252.00 262.23   251.97 262.20    29.48  39.71   251.43 261.66   257.01 267.24   250.75 260.97
