Using Equatorial Coordinates

       Target

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |            RA             |            Dec            |
   Start           End         Duration         Start         End        Start          End          Start          End     
 2020-01-01      2020-01-28        27.90      69.64537      69.92593      30.38404      30.46789      11.83719      11.88336 
 2020-07-27      2020-09-17        52.00     251.77564     252.00738      38.02818      37.71582      14.46594      14.36151 
 2020-12-13      2021-01-31        48.97      70.38405      70.82300      34.65285      34.36500      13.35851      13.28637 
 2021-08-01      2021-09-21        51.09     252.84177     252.99335      42.05354      41.74271      15.75651      15.66207 
 2021-12-18      2022-02-04        48.00      71.38420      71.83260      38.60640      38.32908      14.69903      14.63737 
 2022-08-05      2022-09-26        52.00     253.99340     254.09161      46.13971      45.82060      16.97614      16.88835 
 2022-12-22      2023-02-09        49.00      72.49520      72.96590      42.65738      42.38022      15.98698      15.93345 
 2023-08-10      2023-10-01        52.00     255.24772     255.30419      50.31955      49.97733      18.12456      18.03968 
 2023-12-26      2023-12-31         4.10      73.70440      73.75881      46.68474      46.68474      17.18066      17.18066 


                                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      RA     Dec      min    max      min    max       min    max     min    max      min    max      min    max
2020-01-01    30.38  11.84    64.11  75.18    64.08  75.15   201.60 212.67    63.54  74.61    69.13  80.20    62.86  73.93
2020-01-02    30.38  11.83    64.16  75.15    64.13  75.12   201.65 212.63    63.59  74.58    69.17  80.16    62.91  73.90
2020-01-03    30.37  11.83    64.20  75.11    64.18  75.09   201.69 212.60    63.63  74.54    69.22  80.13    62.95  73.86
2020-01-04    30.36  11.83    64.25  75.09    64.22  75.06   201.74 212.57    63.68  74.52    69.26  80.10    63.00  73.84
2020-01-05    30.36  11.83    64.29  75.06    64.26  75.03   201.78 212.55    63.72  74.49    69.31  80.07    63.04  73.81
2020-01-06    30.35  11.83    64.33  75.04    64.30  75.01   201.82 212.52    63.76  74.47    69.34  80.05    63.08  73.78
2020-01-07    30.35  11.83    64.37  75.01    64.34  74.99   201.85 212.50    63.80  74.44    69.38  80.03    63.12  73.76
2020-01-08    30.34  11.83    64.40  74.99    64.38  74.97   201.89 212.48    63.83  74.42    69.42  80.01    63.15  73.74
2020-01-09    30.34  11.83    64.44  74.98    64.41  74.95   201.92 212.46    63.87  74.41    69.45  79.99    63.19  73.73
2020-01-10    30.34  11.83    64.47  74.96    64.44  74.93   201.96 212.45    63.90  74.39    69.48  79.98    63.22  73.71
2020-01-11    30.34  11.83    64.50  74.95    64.47  74.92   201.99 212.44    63.93  74.38    69.52  79.96    63.25  73.70
2020-01-12    30.34  11.83    64.53  74.94    64.50  74.91   202.02 212.42    63.96  74.37    69.54  79.95    63.28  73.69
2020-01-13    30.34  11.83    64.56  74.93    64.53  74.90   202.04 212.42    63.99  74.36    69.57  79.94    63.31  73.68
2020-01-14    30.34  11.83    64.58  74.92    64.56  74.90   202.07 212.41    64.01  74.35    69.60  79.94    63.33  73.67
2020-01-15    30.34  11.83    64.61  74.92    64.58  74.89   202.09 212.40    64.04  74.35    69.62  79.93    63.36  73.67
2020-01-16    30.35  11.83    64.63  74.91    64.60  74.89   202.12 212.40    64.06  74.34    69.64  79.93    63.38  73.66
2020-01-17    30.35  11.83    64.65  74.91    64.62  74.89   202.14 212.40    64.08  74.34    69.67  79.93    63.40  73.66
2020-01-18    30.35  11.84    64.67  74.91    64.64  74.89   202.16 212.40    64.10  74.34    69.69  79.93    63.42  73.66
2020-01-19    30.36  11.84    64.69  74.92    64.66  74.89   202.18 212.40    64.12  74.35    69.70  79.93    63.44  73.67
2020-01-20    30.37  11.84    64.71  74.92    64.68  74.90   202.19 212.41    64.14  74.35    69.72  79.94    63.46  73.67
2020-01-21    30.38  11.85    64.72  74.93    64.70  74.90   202.21 212.42    64.15  74.36    69.74  79.94    63.47  73.68
2020-01-22    30.38  11.85    64.74  74.94    64.71  74.91   202.22 212.43    64.17  74.37    69.75  79.95    63.49  73.69
2020-01-23    30.39  11.85    64.75  74.95    64.72  74.92   202.24 212.44    64.18  74.38    69.76  79.96    63.50  73.70
2020-01-24    30.40  11.86    64.76  74.96    64.73  74.94   202.25 212.45    64.19  74.39    69.78  79.98    63.51  73.71
2020-01-25    30.41  11.86    64.77  74.98    64.74  74.95   202.26 212.46    64.20  74.41    69.79  79.99    63.52  73.73
2020-01-26    30.43  11.87    65.00  74.77    64.97  74.75   202.49 212.26    64.43  74.20    70.02  79.79    63.75  73.52
2020-01-27    30.44  11.87    65.65  74.15    65.62  74.12   203.14 211.64    65.08  73.58    70.66  79.17    64.40  72.90
2020-01-28    30.45  11.88    66.30  73.53    66.27  73.50   203.78 211.02    65.73  72.96    71.31  78.55    65.04  72.28

2020-07-28    38.03  14.47   248.29 255.26   248.26 255.24    25.78  32.75   247.72 254.69   253.30 260.28   247.04 254.01
2020-07-29    38.04  14.47   247.70 255.87   247.68 255.84    25.19  33.35   247.13 255.30   252.72 260.88   246.45 254.62
2020-07-30    38.06  14.47   247.12 256.47   247.09 256.44    24.61  33.96   246.55 255.90   252.13 261.49   245.87 255.22
2020-07-31    38.07  14.48   246.70 256.91   246.67 256.88    24.19  34.39   246.13 256.34   251.71 261.92   245.45 255.66
2020-08-01    38.08  14.48   246.71 256.91   246.68 256.89    24.20  34.40   246.14 256.34   251.72 261.93   245.46 255.66
2020-08-02    38.09  14.49   246.72 256.92   246.69 256.89    24.21  34.41   246.15 256.35   251.73 261.93   245.47 255.67
2020-08-03    38.10  14.49   246.73 256.93   246.70 256.90    24.21  34.41   246.16 256.36   251.74 261.94   245.48 255.68
2020-08-04    38.11  14.49   246.73 256.94   246.71 256.91    24.22  34.42   246.16 256.37   251.75 261.95   245.48 255.68
2020-08-05    38.12  14.49   246.74 256.95   246.71 256.92    24.22  34.43   246.17 256.38   251.75 261.96   245.49 255.70
2020-08-06    38.13  14.50   246.74 256.96   246.71 256.93    24.23  34.44   246.17 256.39   251.75 261.97   245.49 255.71
2020-08-07    38.14  14.50   246.74 256.97   246.71 256.94    24.23  34.46   246.17 256.40   251.75 261.99   245.49 255.72
2020-08-08    38.14  14.50   246.74 256.98   246.71 256.96    24.23  34.47   246.17 256.41   251.75 262.00   245.49 255.73
2020-08-09    38.15  14.50   246.73 257.00   246.71 256.97    24.22  34.49   246.16 256.43   251.75 262.01   245.48 255.75
2020-08-10    38.15  14.50   246.73 257.01   246.70 256.99    24.22  34.50   246.16 256.44   251.75 262.03   245.48 255.76
2020-08-11    38.16  14.50   246.72 257.03   246.70 257.01    24.21  34.52   246.15 256.46   251.74 262.05   245.47 255.78
2020-08-12    38.16  14.51   246.72 257.05   246.69 257.02    24.20  34.54   246.15 256.48   251.73 262.07   245.47 255.80
2020-08-13    38.16  14.51   246.71 257.07   246.68 257.05    24.19  34.56   246.14 256.50   251.72 262.09   245.46 255.82
2020-08-14    38.16  14.51   246.69 257.09   246.67 257.07    24.18  34.58   246.12 256.52   251.71 262.11   245.44 255.84
2020-08-15    38.16  14.51   246.68 257.12   246.65 257.09    24.17  34.60   246.11 256.55   251.70 262.13   245.43 255.87
2020-08-16    38.16  14.51   246.67 257.14   246.64 257.11    24.15  34.63   246.10 256.57   251.68 262.16   245.42 255.89
2020-08-17    38.16  14.51   246.65 257.17   246.62 257.14    24.14  34.65   246.08 256.60   251.66 262.18   245.40 255.92
2020-08-18    38.16  14.51   246.63 257.19   246.60 257.17    24.12  34.68   246.06 256.62   251.65 262.21   245.38 255.94
2020-08-19    38.16  14.50   246.61 257.22   246.58 257.20    24.10  34.71   246.04 256.65   251.62 262.24   245.36 255.97
